term,n,hawk_ct,dove_ct,z
appropriate monetary,2,1,6,-1.74
personal consumption,2,1,6,-1.74
consumption expenditures,2,1,6,-1.74
board of governors,3,1,6,-1.74
expenditures,1,1,6,-1.74
third quarter,2,1,6,-1.74
core inflation,2,1,6,-1.74
has weakened,2,1,6,-1.74
price index,2,1,6,-1.74
personal consumption expenditures,3,1,6,-1.74
considerable time,2,15,24,-1.69
consumption,1,2,7,-1.67
now intends,2,2,7,-1.67
extend,1,11,19,-1.67
longer term inflation,3,5,11,-1.62
term inflation expectations,3,5,11,-1.62
downward,1,25,35,-1.62
non-energy imports market-based,3,5,11,-1.62
pressure on longer-term,3,19,28,-1.6
further policy,2,3,8,-1.57
abroad,1,3,8,-1.57
slightly,1,1,5,-1.55
mid,1,10,17,-1.55
previously announced,2,1,5,-1.55
extension program,2,1,5,-1.55
clearly,1,1,5,-1.55
maturity extension program,3,1,5,-1.55
maturity extension,2,1,5,-1.55
initially,1,1,5,-1.55
compensation,1,31,41,-1.54
sustained,1,33,43,-1.52
longer term,2,11,18,-1.51
have declined,2,11,18,-1.51
temporary,1,7,13,-1.5
assessing,1,4,9,-1.49
provide support,2,4,9,-1.49
patient,1,4,9,-1.49
suggests that economic,3,12,19,-1.48
below,1,146,158,-1.47
treasury securities,2,99,111,-1.47
run,1,104,116,-1.47
years to years,3,2,6,-1.45
low although,2,2,6,-1.45
evidence that inflation,3,2,6,-1.45
specifically,1,2,6,-1.45
continues to sees,3,2,6,-1.45
remained low although,3,2,6,-1.45
longer-term interest,2,21,29,-1.43
gains have,2,14,21,-1.43
mortgage,1,32,41,-1.42
help,1,93,104,-1.41
remaining,1,9,15,-1.41
subdued,1,38,47,-1.38
existing policies,2,6,11,-1.36
policies of reinvesting,3,6,11,-1.36
agency,1,206,215,-1.36
announced in september,3,6,11,-1.36
holdings of securities,3,17,24,-1.36
eventually,1,3,7,-1.35
program to extend,3,11,17,-1.35
market-based measures,2,28,36,-1.35
market-based,1,28,36,-1.35
average maturity,2,11,17,-1.35
extend the average,3,11,17,-1.35
board,1,3,7,-1.35
previously,1,3,7,-1.35
inflation to rise,3,3,7,-1.35
prepared,1,29,37,-1.34
considerable time after,3,12,18,-1.32
appropriate,1,158,167,-1.31
support to mortgage,3,0,8,-1.31
least through mid,3,7,12,-1.31
broader,1,33,41,-1.31
wage,1,0,8,-1.31
through mid,2,7,12,-1.31
billion of agency,3,0,8,-1.31
well,1,67,76,-1.28
treasury,1,117,126,-1.28
move toward levels,3,4,8,-1.27
accommodation economic activity,3,14,20,-1.27
continue purchasing additional,3,4,8,-1.27
somewhat in recent,3,4,8,-1.27
securities as announced,3,8,13,-1.27
accommodation economic,2,24,31,-1.26
policy accommodation economic,3,24,31,-1.26
declined,1,50,58,-1.23
maintaining,1,52,60,-1.22
within one,2,0,7,-1.22
one to two,3,0,7,-1.22
markets,1,52,60,-1.22
within,1,0,7,-1.22
objective but even,3,0,7,-1.22
only,1,29,36,-1.22
additional billion,2,0,7,-1.22
continue its program,3,0,7,-1.22
moreover,1,10,15,-1.21
review the size,3,10,15,-1.21
appropriate in determining,3,10,15,-1.21
purchasing additional,2,5,9,-1.21
inflation compensation,2,30,37,-1.21
faster progress toward,3,2,5,-1.19
energy prices longer-term,3,2,5,-1.19
faster progress,2,2,5,-1.19
years or less,3,2,5,-1.19
raise maintain,2,2,5,-1.19
dual mandate however,3,2,5,-1.19
mandate however,2,2,5,-1.19
pace of job,3,2,5,-1.19
toward its objectives,3,19,25,-1.19
amount of treasury,3,2,5,-1.19
mortgage-backed securities,2,150,157,-1.19
equal amount,2,2,5,-1.19
prices longer-term,2,2,5,-1.19
equal,1,2,5,-1.19
approximately,1,2,5,-1.19
prices longer-term inflation,3,2,5,-1.19
dissipate however,2,2,5,-1.19
indicators of labor,3,2,5,-1.19
mortgage-backed,1,150,157,-1.19
changed,1,35,42,-1.18
while,1,36,43,-1.18
remained low,2,6,10,-1.15
size and composition,3,12,17,-1.15
activity will expand,3,24,30,-1.14
auction these programs,3,0,6,-1.13
objective only,2,0,6,-1.13
continue to add,3,0,6,-1.13
nearly balanced tilted,3,0,6,-1.13
longer-run objective only,3,0,6,-1.13
only partly,2,0,6,-1.13
objective only partly,3,0,6,-1.13
stance of appropriate,3,0,6,-1.13
subdued household,2,0,6,-1.13
sustained basis,2,0,6,-1.13
recent months,2,92,99,-1.13
subdued household spending,3,0,6,-1.13
balances,1,0,6,-1.13
also decided,2,13,18,-1.13
index for personal,3,0,6,-1.13
interest rates provide,3,0,6,-1.13
only partly reflecting,3,0,6,-1.13
programs should put,3,0,6,-1.13
necessary to return,3,0,6,-1.13
imports market-based,2,7,11,-1.11
term inflation,2,7,11,-1.11
measures of longer-term,3,27,33,-1.11
billion of longer-term,3,7,11,-1.11
imports market-based measures,3,7,11,-1.11
job gains have,3,14,19,-1.11
core,1,3,6,-1.1
remains strong,2,3,6,-1.1
changed little,2,3,6,-1.1
slower pace,2,3,6,-1.1
has have,2,3,6,-1.1
provide,1,15,20,-1.1
developments abroad,2,3,6,-1.1
growth of household,3,3,6,-1.1
reflecting higher,2,3,6,-1.1
food and energy,3,15,20,-1.1
furthermore strains,2,3,6,-1.1
financial conditions have,3,3,6,-1.1
measures of inflation,3,30,36,-1.1
support,1,123,129,-1.09
now,1,16,21,-1.08
basis,1,33,39,-1.08
average,1,33,39,-1.08
does,1,8,12,-1.08
support mortgage markets,3,17,22,-1.07
support mortgage,2,17,22,-1.07
has been rising,3,17,22,-1.07
interest rates support,3,17,22,-1.07
food,1,17,22,-1.07
until,1,41,47,-1.06
help to make,3,18,23,-1.06
purchasing,1,18,23,-1.06
pose,1,18,23,-1.06
auction,1,45,51,-1.05
unemployment rate has,3,19,24,-1.05
securities at auction,3,45,51,-1.05
holdings,1,171,175,-1.05
rolling,1,45,51,-1.05
rolling over maturing,3,45,51,-1.05
maintaining its existing,3,48,54,-1.04
strong,1,53,59,-1.04
pressures,1,71,77,-1.04
judges,1,78,84,-1.04
months,1,123,128,-1.03
remains depressed inflation,3,4,7,-1.03
pace of improvement,3,4,7,-1.03
longer-term,1,188,191,-1.03
commodities have,2,4,7,-1.03
current pace,2,4,7,-1.03
composition,1,21,26,-1.03
well anchored,2,22,27,-1.02
anchored,1,22,27,-1.02
remains elevated,2,22,27,-1.02
downside risks,2,23,28,-1.01
have continued,2,11,15,-1.0
run below,2,25,30,-1.0
maintain the current,3,12,16,-0.98
decided to keep,3,12,16,-0.98
pace in recent,3,5,8,-0.98
declined somewhat,2,5,8,-0.98
run fomc,2,5,8,-0.98
has moderated,2,5,8,-0.98
power,1,5,8,-0.98
longer run fomc,3,5,8,-0.98
moderate rate job,3,5,8,-0.98
global financial,2,12,16,-0.98
purchasing power,2,5,8,-0.98
has remained low,3,5,8,-0.98
extension,1,5,8,-0.98
activity has,2,36,41,-0.96
economic activity has,3,34,39,-0.96
maturing treasury,2,47,52,-0.95
gradually,1,46,51,-0.95
readings,1,57,62,-0.95
maturing treasury securities,3,47,52,-0.95
global,1,43,48,-0.95
accommodation,1,63,68,-0.95
outlook for economic,3,14,18,-0.95
longer,1,60,65,-0.95
policy accommodation,2,58,63,-0.95
review,1,16,20,-0.93
regularly,1,16,20,-0.93
spending has continued,3,6,9,-0.93
only gradually,2,6,9,-0.93
regularly review,2,16,20,-0.93
promote stronger economic,3,18,22,-0.91
normalize,1,2,4,-0.9
expects inflation,2,7,10,-0.9
far this year,3,2,4,-0.9
mainly reflecting higher,3,2,4,-0.9
sustained improvement,2,7,10,-0.9
although household,2,2,4,-0.9
far,1,2,4,-0.9
further support,2,2,4,-0.9
remained solid,2,2,4,-0.9
persist,1,2,4,-0.9
advance but growth,3,2,4,-0.9
lower energy,2,2,4,-0.9
normalize the stance,3,2,4,-0.9
lower energy prices,3,2,4,-0.9
investment and exports,3,2,4,-0.9
light of global,3,2,4,-0.9
pace of purchases,3,2,4,-0.9
beginning to normalize,3,2,4,-0.9
picked up somewhat,3,2,4,-0.9
auction this policy,3,7,10,-0.9
patient in beginning,3,2,4,-0.9
continued to advance,3,7,10,-0.9
inflation expectations,2,176,177,-0.9
mandate to promote,3,2,4,-0.9
become somewhat,2,2,4,-0.9
somewhat slower,2,2,4,-0.9
although household spending,3,2,4,-0.9
higher prices,2,2,4,-0.9
somewhat slower pace,3,2,4,-0.9
through the end,3,7,10,-0.9
support sustained,2,2,4,-0.9
sheet in light,3,2,4,-0.9
weak on month,3,2,4,-0.9
month basis,2,20,24,-0.89
indicators,1,117,120,-0.89
above,1,24,28,-0.87
inflation this assessment,3,24,28,-0.87
symmetric inflation,2,8,11,-0.87
has remained,2,8,11,-0.87
about billion,2,8,11,-0.87
rise gradually,2,8,11,-0.87
survey-based measures,2,29,33,-0.86
inflation pressures,2,62,66,-0.86
survey-based,1,29,33,-0.86
little changed,2,32,36,-0.85
tools as necessary,3,9,12,-0.85
appropriate at least,3,9,12,-0.85
decided to continue,3,9,12,-0.85
make,1,35,39,-0.85
running,1,30,34,-0.85
debt and agency,3,50,54,-0.85
symmetric,1,35,39,-0.85
little,1,39,43,-0.85
end,1,34,38,-0.85
gains,1,44,48,-0.85
securities in agency,3,48,52,-0.85
month,1,95,98,-0.84
continues to run,3,10,13,-0.83
expectations continue,2,10,13,-0.83
inflation expectations continue,3,10,13,-0.83
remain low survey-based,3,10,13,-0.83
significant downside risks,3,10,13,-0.83
low survey-based measures,3,10,13,-0.83
significant downside,2,10,13,-0.83
low survey-based,2,10,13,-0.83
risks,1,89,92,-0.83
supply chain,2,3,5,-0.82
overall financial,2,3,5,-0.82
pace business,2,3,5,-0.82
supply,1,3,5,-0.82
appropriate stance,2,3,5,-0.82
overall financial conditions,3,3,5,-0.82
monetary policy accommodation,3,3,5,-0.82
remain,1,143,144,-0.82
due,1,3,5,-0.82
reducing,1,3,5,-0.82
generate,1,3,5,-0.82
inflation for items,3,11,14,-0.82
generate sustained,2,3,5,-0.82
help foster,2,3,5,-0.82
chain disruptions,2,3,5,-0.82
chain,1,3,5,-0.82
pace and labor,3,11,14,-0.82
labor market remains,3,3,5,-0.82
energy are running,3,3,5,-0.82
improvement in recent,3,3,5,-0.82
supply chain disruptions,3,3,5,-0.82
outlook in light,3,3,5,-0.82
have declined somewhat,3,3,5,-0.82
soft inflation,2,3,5,-0.82
sell,1,3,5,-0.82
amount,1,3,5,-0.82
generate sustained improvement,3,3,5,-0.82
mixed,1,3,5,-0.82
have has,2,3,5,-0.82
further inflation,2,3,5,-0.82
commodities have declined,3,3,5,-0.82
enough to generate,3,3,5,-0.82
strong enough,2,3,5,-0.82
pace business fixed,3,3,5,-0.82
provide additional,2,3,5,-0.82
related,1,3,5,-0.82
somewhat,1,82,85,-0.81
moderated,1,12,15,-0.8
items,1,12,15,-0.8
remained,1,71,74,-0.79
intends,1,14,17,-0.78
inflation expectations remain,3,14,17,-0.78
expectations remain,2,14,17,-0.78
fixed investment has,3,14,17,-0.78
least through,2,16,19,-0.77
addition,1,15,18,-0.77
remain well,2,15,18,-0.77
partly reflecting declines,3,4,6,-0.76
anticipates,1,120,121,-0.76
indicators of longer-term,3,4,6,-0.76
depressed inflation has,3,4,6,-0.76
sales,1,4,6,-0.76
third,1,4,6,-0.76
billion,1,90,92,-0.76
september october,2,4,6,-0.76
have moved,2,4,6,-0.76
continued to run,3,18,21,-0.76
stability in determining,3,4,6,-0.76
lower in recent,3,4,6,-0.76
rising at moderate,3,4,6,-0.76
maturing,1,49,52,-0.75
program,1,87,89,-0.75
job,1,41,44,-0.74
promote stronger,2,24,27,-0.74
stronger,1,46,49,-0.74
long to maintain,3,23,26,-0.74
expectations are little,3,23,26,-0.74
slowed,1,37,40,-0.73
rising at strong,3,5,7,-0.72
inflation has declined,3,5,7,-0.72
slowly,1,5,7,-0.72
appropriate to promote,3,5,7,-0.72
assessments,1,5,7,-0.72
purchasing additional agency,3,5,7,-0.72
declined further,2,5,7,-0.72
depressed level,2,5,7,-0.72
had,1,5,7,-0.72
gradually toward levels,3,5,7,-0.72
expectations,1,181,178,-0.7
pace of about,3,6,8,-0.69
depressed inflation,2,6,8,-0.69
even though,2,6,8,-0.69
fixed investment,2,63,65,-0.69
basis overall inflation,3,6,8,-0.69
month basis overall,3,6,8,-0.69
longer-term inflation,2,94,95,-0.69
toward its objective,3,6,8,-0.69
basis overall,2,6,8,-0.69
unemployment,1,116,116,-0.69
decline only,2,6,8,-0.69
economy has,2,6,8,-0.69
energy,1,92,93,-0.69
anticipates based,2,6,8,-0.69
appropriate to support,3,6,8,-0.69
fixed,1,63,65,-0.69
about billion per,3,6,8,-0.69
labor,1,382,367,-0.69
lending,1,6,8,-0.69
business fixed investment,3,62,64,-0.68
reinvesting principal,2,60,62,-0.68
business fixed,2,62,64,-0.68
reinvesting principal payments,3,60,62,-0.68
recent,1,157,155,-0.68
fluctuations,1,7,9,-0.67
sustained expansion,2,8,10,-0.66
muted inflation pressures,3,8,10,-0.66
below percent market-based,3,8,10,-0.66
symmetric inflation goal,3,8,10,-0.66
compensation have,2,8,10,-0.66
holdings as appropriate,3,8,10,-0.66
muted inflation,2,8,10,-0.66
pose significant downside,3,8,10,-0.66
measures,1,148,146,-0.66
solid on average,3,9,11,-0.64
pace with labor,3,9,11,-0.64
above percent inflation,3,9,11,-0.64
additional,1,44,46,-0.64
disruptions,1,9,11,-0.64
suggests,1,45,47,-0.64
evidence,1,9,11,-0.64
rising moderately,2,10,12,-0.63
monitoring inflation,2,10,12,-0.63
job gains,2,40,42,-0.63
adjust those holdings,3,10,12,-0.63
largely,1,10,12,-0.63
household spending,2,72,73,-0.63
outlook appear roughly,3,11,13,-0.62
near mandate-consistent,2,12,14,-0.62
expectations remain well,3,12,14,-0.62
after employment,2,12,14,-0.62
near mandate-consistent levels,3,12,14,-0.62
longer-term inflation expectations,3,94,94,-0.62
even after employment,3,12,14,-0.62
remain well anchored,3,12,14,-0.62
global financial markets,3,12,14,-0.62
appropriate to maintain,3,12,14,-0.62
december,1,31,33,-0.61
overall inflation,2,14,16,-0.61
longer-term treasury securities,3,32,34,-0.61
prepared to adjust,3,13,15,-0.61
non-energy,1,14,16,-0.61
currently anticipates,2,32,34,-0.61
mandate-consistent,1,14,16,-0.61
help ensure,2,31,33,-0.61
expected toward,2,14,16,-0.61
longer-term treasury,2,32,34,-0.61
inflation and inflation,3,17,19,-0.6
anticipated,1,26,28,-0.6
investment has,2,16,18,-0.6
measured,1,17,19,-0.6
compensation remain,2,18,20,-0.6
inflation compensation remain,3,18,20,-0.6
support stronger,2,19,21,-0.6
determining how long,3,23,25,-0.6
substantially,1,22,24,-0.6
conditions have,2,20,22,-0.6
gradually toward,2,15,17,-0.6
investment,1,88,88,-0.6
ends,1,15,17,-0.6
principal,1,63,64,-0.6
spending has,2,25,27,-0.6
normal,1,15,17,-0.6
expanding at moderate,3,19,21,-0.6
household spending has,3,25,27,-0.6
have,1,216,209,-0.59
principal payments,2,62,63,-0.59
per,1,61,62,-0.59
foster,1,85,85,-0.59
per month,2,61,62,-0.59
holdings of agency,3,59,60,-0.58
economic outlook,2,104,103,-0.58
developments,1,157,153,-0.57
remains,1,121,119,-0.57
pressures and inflation,3,54,55,-0.57
expectations and readings,3,52,53,-0.56
indicators of inflation,3,52,53,-0.56
readings on financial,3,52,53,-0.56
consistent,1,218,210,-0.55
measures of labor,3,51,52,-0.55
energy prices,2,47,48,-0.54
have remained,2,45,46,-0.53
including measures,2,42,43,-0.52
economic recovery,2,88,87,-0.52
financial,1,205,197,-0.51
keeping,1,35,36,-0.5
poses,1,3,4,-0.49
soft inflation has,3,3,4,-0.49
mortgage backed securities,3,3,4,-0.49
variations,1,3,4,-0.49
showed further improvement,3,3,4,-0.49
seen further,2,3,4,-0.49
uncertainties,1,3,4,-0.49
promote economic recovery,3,3,4,-0.49
has seen further,3,3,4,-0.49
factors dissipate,2,3,4,-0.49
months in part,3,3,4,-0.49
expanding its holdings,3,3,4,-0.49
variations that largely,3,3,4,-0.49
settle,1,3,4,-0.49
low most survey-based,3,3,4,-0.49
showed further,2,3,4,-0.49
seen further improvement,3,3,4,-0.49
act as appropriate,3,3,4,-0.49
time following,2,3,4,-0.49
exceed,1,3,4,-0.49
through,1,33,34,-0.49
shown further improvement,3,3,4,-0.49
grow strongly,2,3,4,-0.49
outlook this assessment,3,3,4,-0.49
indicators were mixed,3,3,4,-0.49
remain well below,3,3,4,-0.49
temporary variations,2,3,4,-0.49
employ its tools,3,3,4,-0.49
backed securities,2,3,4,-0.49
inflation along,2,3,4,-0.49
promote economic,2,3,4,-0.49
continued to grow,3,3,4,-0.49
weigh,1,3,4,-0.49
fluctuations in energy,3,3,4,-0.49
along with risks,3,3,4,-0.49
recovery is continuing,3,3,4,-0.49
apart from temporary,3,3,4,-0.49
reserve's,1,3,4,-0.49
albeit,1,3,4,-0.49
considerable time following,3,3,4,-0.49
begin,1,32,33,-0.49
outlook remain,2,3,4,-0.49
months on balance,3,3,4,-0.49
uncertainties about,2,3,4,-0.49
april suggests,2,3,4,-0.49
employment in context,3,3,4,-0.49
accommodative,1,114,111,-0.48
assess,1,54,54,-0.47
inflation developments,2,29,30,-0.47
unemployment rate remains,3,27,28,-0.47
appropriate policy,2,24,25,-0.46
growth in employment,3,4,5,-0.46
payrolls housing starts,3,4,5,-0.46
price stability goals,3,4,5,-0.46
slow,1,26,27,-0.46
continue through,2,4,5,-0.46
policy remains appropriate,3,4,5,-0.46
objective to support,3,4,5,-0.46
securities holdings,2,26,27,-0.46
steady,1,4,5,-0.46
stability goals,2,4,5,-0.46
without,1,4,5,-0.46
modest pace,2,4,5,-0.46
housing markets,2,4,5,-0.46
longer-run goal,2,24,25,-0.46
payrolls housing,2,4,5,-0.46
october december,2,4,5,-0.46
higher,1,24,25,-0.46
spending and business,3,24,25,-0.46
sooner than currently,3,4,5,-0.46
january suggests,2,4,5,-0.46
while growth,2,4,5,-0.46
purchase billion,2,4,5,-0.46
conditions in context,3,4,5,-0.46
however investment,2,4,5,-0.46
expects then increases,3,4,5,-0.46
inflation has picked,3,4,5,-0.46
enough,1,4,5,-0.46
conditions indicators,2,52,52,-0.46
employment and inflation,3,52,52,-0.46
recent indicators,2,4,5,-0.46
appropriate policy accommodation,3,24,25,-0.46
remain subdued,2,4,5,-0.46
likely outcomes,2,5,6,-0.45
likely reduce,2,5,6,-0.45
month and longer-term,3,5,6,-0.45
become appropriate,2,5,6,-0.45
carefully for evidence,3,5,6,-0.45
now expects,2,5,6,-0.45
goals of maximum,3,23,24,-0.45
mainly reflecting,2,5,6,-0.45
balanced approach consistent,3,23,24,-0.45
pace of recovery,3,5,6,-0.45
decides,1,23,24,-0.45
have been strong,3,5,6,-0.45
activity and labor,3,5,6,-0.45
approach consistent,2,23,24,-0.45
inflation developments carefully,3,5,6,-0.45
increase its holdings,3,5,6,-0.45
developments and muted,3,5,6,-0.45
spending is increasing,3,5,6,-0.45
reaffirmed,1,22,23,-0.45
suggests that underutilization,3,5,6,-0.45
guidance,1,5,6,-0.45
beginning,1,22,23,-0.45
credit markets,2,5,6,-0.45
closely in view,3,5,6,-0.45
global economic,2,19,20,-0.44
inflation has,2,48,48,-0.44
price,1,184,176,-0.44
furthermore,1,6,7,-0.44
today reaffirmed,2,20,21,-0.44
inflation on month,3,6,7,-0.44
growth in business,3,6,7,-0.44
closely,1,48,48,-0.44
recovery in context,3,6,7,-0.44
anticipated to remain,3,6,7,-0.44
still weak,2,6,7,-0.44
reaffirmed its view,3,20,21,-0.44
structures is still,3,6,7,-0.44
indicate,1,6,7,-0.44
compensation remain low,3,18,19,-0.44
gradually decline toward,3,7,8,-0.43
improves,1,8,9,-0.43
inflation developments relative,3,8,9,-0.43
expected inflation developments,3,8,9,-0.43
developments relative,2,8,9,-0.43
risks to economic,3,8,9,-0.43
accommodative thereby,2,15,16,-0.43
average in recent,3,14,15,-0.43
move back toward,3,8,9,-0.43
public health,2,7,8,-0.43
labor market improves,3,8,9,-0.43
december january,2,8,9,-0.43
term near-term risks,3,7,8,-0.43
gradually decline,2,7,8,-0.43
health,1,7,8,-0.43
whether,1,7,8,-0.43
symmetric percent objective,3,14,15,-0.43
term near-term,2,7,8,-0.43
support the economy,3,7,8,-0.43
remains accommodative thereby,3,15,16,-0.43
move back,2,14,15,-0.43
economic performance,2,8,9,-0.43
advancing,1,7,8,-0.43
housing sector remains,3,14,15,-0.43
program ends,2,15,16,-0.43
improves further,2,8,9,-0.43
somewhat further,2,14,15,-0.43
inflation compensation have,3,8,9,-0.43
closer,1,7,8,-0.43
basis both overall,3,7,8,-0.43
first half,2,7,8,-0.43
time warrant,2,14,15,-0.43
anticipates that inflation,3,15,16,-0.43
medium term near-term,3,7,8,-0.43
recent low,2,8,9,-0.43
performance,1,8,9,-0.43
intends to purchase,3,8,9,-0.43
expected inflation,2,8,9,-0.43
continue purchasing,2,8,9,-0.43
stabilize,1,8,9,-0.43
purchase program ends,3,15,16,-0.43
after the asset,3,14,15,-0.43
remains appropriate,2,16,17,-0.43
sector remains,2,14,15,-0.43
accommodative thereby supporting,3,15,16,-0.43
inflation will move,3,14,15,-0.43
additional measures,2,9,10,-0.42
slower,1,12,13,-0.42
have increased,2,10,11,-0.42
pose significant,2,9,10,-0.42
percentage point above,3,9,10,-0.42
projected inflation continues,3,10,11,-0.42
continued to expand,3,11,12,-0.42
fiscal policy,2,13,14,-0.42
economic outlook appear,3,12,13,-0.42
occur,1,10,11,-0.42
inflation continues,2,10,11,-0.42
also anticipates,2,11,12,-0.42
outlook appear,2,12,13,-0.42
advance,1,10,11,-0.42
sustained return,2,10,11,-0.42
payments,1,64,63,-0.42
policy is restraining,3,11,12,-0.42
monitoring inflation developments,3,10,11,-0.42
continue to pose,3,9,10,-0.42
inflation objective,2,12,13,-0.42
strains in global,3,12,13,-0.42
remains above,2,9,10,-0.42
also consider,2,9,10,-0.42
pose risks,2,9,10,-0.42
apart,1,9,10,-0.42
accommodation economic growth,3,10,11,-0.42
supports,1,11,12,-0.42
has slowed,2,13,14,-0.42
projected inflation,2,10,11,-0.42
objective,1,133,128,-0.42
rising,1,42,42,-0.41
billion per,2,61,60,-0.41
ensure that inflation,3,42,42,-0.41
longer-run,1,98,95,-0.41
billion per month,3,61,60,-0.41
context of price,3,39,39,-0.4
september,1,40,40,-0.4
mandate,1,172,164,-0.39
currently,1,73,71,-0.38
assessment,1,71,69,-0.37
conditions and inflation,3,33,33,-0.37
seeks,1,71,69,-0.37
remain low,2,32,32,-0.36
statutory mandate,2,68,66,-0.35
january,1,31,31,-0.35
dual,1,84,81,-0.35
continued progress toward,3,30,30,-0.35
continued progress,2,30,30,-0.35
purchase,1,67,65,-0.35
moderately,1,31,31,-0.35
dual mandate,2,84,81,-0.35
support continued progress,3,28,28,-0.34
support continued,2,28,28,-0.34
also,1,66,64,-0.34
maintain,1,142,135,-0.33
ensure,1,46,45,-0.33
take into account,3,46,45,-0.33
account wide,2,46,45,-0.33
wide,1,47,46,-0.33
reinvesting,1,64,62,-0.33
remove,1,24,24,-0.31
longer-run goals,2,24,24,-0.31
assessment will take,3,43,42,-0.31
decides to begin,3,23,23,-0.31
modest,1,24,24,-0.31
however,1,91,87,-0.3
goal,1,42,41,-0.3
expand,1,58,56,-0.3
expects,1,118,112,-0.29
recovery,1,118,112,-0.29
expand at moderate,3,40,39,-0.29
near,1,73,70,-0.29
depressed,1,21,21,-0.29
appear,1,20,20,-0.28
maintain accommodative,2,20,20,-0.28
help maintain accommodative,3,20,20,-0.28
maintain accommodative financial,3,20,20,-0.28
prevail,1,18,18,-0.27
projected,1,37,36,-0.27
evolve,1,18,18,-0.27
financial and international,3,37,36,-0.27
evolve in manner,3,18,18,-0.27
moderate pace,2,69,66,-0.27
actual and expected,3,17,17,-0.26
strong labor,2,17,17,-0.26
labor market conditions,3,193,181,-0.26
seeks to foster,3,68,65,-0.26
existing policy,2,52,50,-0.26
household,1,80,76,-0.25
assess progress,2,16,16,-0.25
progress both realized,3,16,16,-0.25
exports,1,16,16,-0.25
purchases of treasury,3,16,16,-0.25
securities at pace,3,35,34,-0.25
medium run,2,15,15,-0.25
views as normal,3,14,14,-0.24
warrant keeping,2,14,14,-0.24
existing,1,64,61,-0.24
determining,1,64,61,-0.24
purchases to support,3,14,14,-0.24
first,1,14,14,-0.24
time warrant keeping,3,14,14,-0.24
levels economic conditions,3,14,14,-0.24
mandate-consistent levels,2,14,14,-0.24
growth in economic,3,14,14,-0.24
underutilization of labor,3,14,14,-0.24
prices of non-energy,3,14,14,-0.24
inflation are near,3,14,14,-0.24
mandate-consistent levels economic,3,14,14,-0.24
levels economic,2,14,14,-0.24
spending,1,92,87,-0.23
moved,1,13,13,-0.23
investment have,2,13,13,-0.23
appear roughly balanced,3,13,13,-0.23
around,1,13,13,-0.23
action,1,13,13,-0.23
appear roughly,2,13,13,-0.23
restraining,1,13,13,-0.23
current,1,76,72,-0.22
have been solid,3,12,12,-0.22
march,1,30,29,-0.22
considerable,1,30,29,-0.22
expects to maintain,3,12,12,-0.22
outcomes,1,12,12,-0.22
remain appropriate,2,12,12,-0.22
restraining economic,2,12,12,-0.22
employment and price,3,118,111,-0.22
further measured,2,12,12,-0.22
restraining economic growth,3,12,12,-0.22
prices dissipate,2,11,11,-0.21
inflation near,2,11,11,-0.21
sector,1,45,43,-0.21
extended period,2,11,11,-0.21
housing sector,2,45,43,-0.21
import prices dissipate,3,11,11,-0.21
additional agency,2,10,10,-0.2
likely to occur,3,10,10,-0.2
conditions and sustained,3,10,10,-0.2
realized and expected,3,58,55,-0.2
partly reflecting earlier,3,10,10,-0.2
muted,1,10,10,-0.2
percentage,1,10,10,-0.2
view that highly,3,10,10,-0.2
further however,2,10,10,-0.2
