term,ngram_len,total_freq,doc_freq_of_62,example_sentence
around,1,157,54,One-year expectations and forecasts from the various sources hover around the level of one percent.
low,1,154,56,"The unemployment rate remains very low, though the participation and employment rates appear to be moderating from the elevated levels they had reached."
rate decision,2,153,56,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
interest rate decision,3,153,56,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
goods,1,152,58,"Inflation in tradable goods prices moderated, primarily as a result of a slowdown in the annual rate of increase in energy prices, despite the increase in oil prices until recently and the depreciation of the shekel."
environment,1,151,54,"After a continued rise in actual inflation since the beginning of 2018, the annual inflation rate has ranged between 1.2–1.4 percent in the past five months, and the “adjusted indices” are in a similar environment  ."
industries,1,151,48,"The ratio of job vacancies to total employee posts rose to a record level  , and wages continue to increase  , led by a relatively sharp rise in the business sector, encompassing a wide range of industries and all salary levels."
remain,1,149,55,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
bound,1,149,49,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
increases,1,148,52,The wage increases in the economy and the expansionary fiscal policy will support the entrenchment of inflation within the target range.
indicate,1,147,59,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
survey,1,147,59,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
world,1,145,60,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
unchanged,1,144,51,"However, the IMF kept its 2019 world trade growth forecast unchanged and slightly reduced its 2020 forecast."
following,1,142,54,"The tension between the Italian government and European authorities grew stronger, following the proposed budget that is expected to lead to an increase in the deficit in Italy."
stable,1,140,54,Emerging economies are relatively stable.
components,1,139,52,"Private current consumption increased at a relatively moderate rate in the first quarter, and, other than vehicles, most components of investment contracted."
home,1,138,57,Home prices stabilized in recent months.
significant,1,138,47,"The economy is expected to grow in those years at a rate slightly higher than the long-term pace, as a result of significant activity by a number of large companies."
supply,1,137,52,"The growth in supply is apparently the main factor, but there are also forecasts for a decline in global demand. interest rate decision will be published on December 10, 2018."
unemployment rate,2,135,59,"The unemployment rate remains very low, though the participation and employment rates appear to be moderating from the elevated levels they had reached."
beginning,1,135,49,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
nominal,1,134,59,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
statistics,1,134,56,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
bureau,1,133,55,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
central bureau,2,133,55,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
bureau of statistics,3,133,55,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
forecasts,1,132,49,One-year expectations and forecasts from the various sources hover around the level of one percent.
price,1,132,49,"There were price declines and sharp volatility in most equity indices, and expected monetary contraction worldwide is seen to be slowing."
housing,1,132,38,"Inflation in the past 12 months is 0.4 percent, and in the past two months, there has also been a decline in inflation excluding energy and fruits and vegetables, in view of the appreciation of the shekel and the slowdown in the increases of housing and food prices."
department,1,130,44,The Research Department forecasts inflation of 1.3 percent over the coming four quarters.
long-term,1,129,53,"Regarding economic activity, the first estimate by the Central Bureau of Statistics for full year growth in 2018 is 3.2 percent, similar to the long-term growth rate."
prior,1,128,48,"Since the increase of the interest rate, the nominal effective exchange rate has remained relatively stable, following a depreciation of the shekel in the weeks prior to the increase  ."
risk,1,128,47,The main risk to this is the possibility of a sharp appreciation of the shekel.
inflation expectations,2,127,58,"One-year inflation expectations and forecasts are slightly above the lower bound of the target range, and forward expectations for medium and longer terms remained near the midpoint of the target."
assessment,1,127,55,An analysis of the data and of updated indicators of economic activity leads to the assessment that the economy is converging to its potential growth rate.
bond,1,125,53,"Since the previous interest rate decision, 10-year government bond yields stabilized, after increasing in previous months."
effective,1,124,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
end,1,124,51,"The Committee assesses that the rising path of the interest rate in the future will be gradual and cautious, in a manner that supports a process at the end of which inflation will stabilize around the midpoint of the target range, and that supports economic activity."
research,1,124,49,The Research Department forecasts inflation of 1.3 percent over the coming four quarters.
effective exchange,2,123,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
effective exchange rate,3,123,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
revised,1,123,55,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
inflation rate,2,123,47,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
fourth quarter,2,123,37,Indicators of fourth quarter activity point to some acceleration in the growth rate.
tendency,1,121,56,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
alongside,1,121,47,"The number of transactions continued to increase, particularly among first-time home buyers, alongside the prolonged decline in investment in residential construction."
moderation,1,121,39,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
rates,1,120,54,"The number of transactions and mortgage volume appear to be stabilizing, with a slight increase in mortgage interest rates."
capital,1,120,53,"In the capital markets, there was an increase in forward expectations up to three years, and long-term expectations are anchored near the midpoint of the target range.  ."
coming,1,120,51,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
business tendency,2,119,56,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
tendency survey,2,119,56,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
business tendency survey,3,119,56,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
previous interest,2,118,56,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
previous interest rate,3,118,56,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
volume,1,118,51,"The number of transactions and mortgage volume appear to be stabilizing, with a slight increase in mortgage interest rates."
businesses,1,117,43,The loans are contingent on extending credit to small and micro businesses.
research department,2,116,44,The Research Department forecasts inflation of 1.3 percent over the coming four quarters.
increased by percent,3,115,52,"In addition, the Composite State of the Economy Index, which increased by 0.3 percent in November, with data for October revised upward, even hints at a faster pace in the fourth quarter  ."
similar,1,115,51,"After a continued rise in actual inflation since the beginning of 2018, the annual inflation rate has ranged between 1.2–1.4 percent in the past five months, and the “adjusted indices” are in a similar environment  ."
sharp,1,115,43,The main risk to this is the possibility of a sharp appreciation of the shekel.
equity,1,114,57,"In financial markets, there were marked declines in most equity indices."
dollar,1,113,54,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
indicators,1,113,52,An analysis of the data and of updated indicators of economic activity leads to the assessment that the economy is converging to its potential growth rate.
moderated,1,112,42,"Inflation in tradable goods prices moderated, primarily as a result of a slowdown in the annual rate of increase in energy prices, despite the increase in oil prices until recently and the depreciation of the shekel."
tight,1,112,40,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
home prices,2,111,55,Home prices stabilized in recent months.
financial,1,111,48,"In financial markets, there were marked declines in most equity indices."
nominal effective,2,110,58,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
nominal effective exchange,3,110,58,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
energy,1,110,58,"Inflation in tradable goods prices moderated, primarily as a result of a slowdown in the annual rate of increase in energy prices, despite the increase in oil prices until recently and the depreciation of the shekel."
slowdown,1,110,38,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
relatively,1,109,51,Emerging economies are relatively stable.
developments,1,109,45,"The Bank of Israel continues to monitor developments in inflation, the real economy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
reviewed,1,108,31,"In the capital market, equity prices increased during the reviewed period, in contrast with the global trend, and corporate bond spreads declined slightly  ."
percent in terms,3,107,56,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
industry,1,107,34,"Of particular note have been the increases in credit card expenditure in the restaurant industry and the education and leisure services industry, which until recent weeks had typically been stable at low activity levels, while tourism remains very low."
upper,1,107,31,"However, the Committee emphasizes that this is not an upper bound for intervention, and that the Bank continues to act taking into account the state of the economy and the continuation of economic activity."
construction,1,106,44,"Private consumption grew moderately, and investment continued to contract, despite the firming of residential construction investment after it had declined over several quarters."
reviewed period,2,106,31,"In the capital market, equity prices increased during the reviewed period, in contrast with the global trend, and corporate bond spreads declined slightly  ."
first quarter,2,105,34,"In the US, growth data for the fourth quarter of 2018 were not published due to the partial government shutdown, but indicators point to slower growth in that quarter and in the first quarter of 2019."
inflation environment,2,104,50,"The inflation environment has stabilized above the lower bound of the target range, even though the CPI reading for November declined by 0.3 percent and was slightly lower than expected."
recent months,2,104,43,Home prices stabilized in recent months.
relative,1,103,37,"There is relative stability in emerging markets, although economic activity is expected to moderate."
sector,1,102,54,"The ratio of job vacancies to total employee posts rose to a record level  , and wages continue to increase  , led by a relatively sharp rise in the business sector, encompassing a wide range of industries and all salary levels."
downward,1,101,49,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
monetary policy,2,101,46,"The gradual normalization process of monetary policy worldwide continues, but policy remains accommodative in most economies."
annual inflation,2,101,43,"After a continued rise in actual inflation since the beginning of 2018, the annual inflation rate has ranged between 1.2–1.4 percent in the past five months, and the “adjusted indices” are in a similar environment  ."
consumption,1,101,43,"Private consumption grew moderately, and investment continued to contract, despite the firming of residential construction investment after it had declined over several quarters."
mainly,1,100,48,"Growth in China continued to weaken in the fourth quarter as well, mainly in the manufacturing sector."
banks,1,98,47,"Global monetary policy remains accommodative, but the direction is gradually changing—while negative interest rates and below-target inflation continue in Europe and Japan, federal funds rate increases in the US are expected to continue and the central banks of several additional countries raised interest rates."
new,1,98,45,"New mortgage volume is stabilizing after increasing since 2017, and mortgage interest rates have increased slightly in recent months, against the background of the increase in government bond yields  ."
economies,1,98,42,Emerging economies are relatively stable.
upward,1,98,39,"In addition, the Composite State of the Economy Index, which increased by 0.3 percent in November, with data for October revised upward, even hints at a faster pace in the fourth quarter  ."
grow,1,98,39,"According to the Research Department’s assessment, GDP is expected to grow by 3.4 percent in 2019, slightly lower than the previous forecast, and by 3.5 percent in 2020."
decision the shekel,3,97,54,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
broad,1,97,42,The magnitude of the crisis has led to a broad and unprecedented policy response by central banks and by governments.
led,1,97,41,"The ratio of job vacancies to total employee posts rose to a record level  , and wages continue to increase  , led by a relatively sharp rise in the business sector, encompassing a wide range of industries and all salary levels."
job,1,95,53,"The ratio of job vacancies to total employee posts rose to a record level  , and wages continue to increase  , led by a relatively sharp rise in the business sector, encompassing a wide range of industries and all salary levels."
levels,1,94,38,"The unemployment rate remains very low, though the participation and employment rates appear to be moderating from the elevated levels they had reached."
various,1,93,54,One-year expectations and forecasts from the various sources hover around the level of one percent.
financial markets,2,93,45,"In financial markets, there were marked declines in most equity indices."
particularly,1,93,42,"The IMF again revised its growth forecast downward for most regions, particularly Europe."
upper bound,2,93,31,"However, the Committee emphasizes that this is not an upper bound for intervention, and that the Bank continues to act taking into account the state of the economy and the continuation of economic activity."
euro,1,92,49,"It strengthened by 0.5 percent against the dollar, and by 1.7 percent against the euro   If the appreciation continues, it could delay the inflation rate’s rise toward the midpoint of the target."
annual terms,2,91,32,"GDP grew by 3.1 percent (in annual terms), with the growth driven by private consumption."
world trade,2,90,54,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
yields,1,90,54,"Since the previous interest rate decision, 10-year government bond yields stabilized, after increasing in previous months."
net,1,89,53,"Net of this effect, the economy grew at a rate slightly below its potential."
demand,1,89,46,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
component,1,89,46,"Inflation in prices of nontradable items, which serves as an approximation of the domestic component of inflation, resumed its rise  ."
bank of israel,3,89,44,"The Bank of Israel continues to monitor developments in inflation, the real economy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
compared,1,89,40,"Inflation in the past 12 months was 0.5 percent (compared with 1.5 percent at the time of the previous interest rate decision)  , while inflation excluding energy and fruit and vegetables was 0.9 percent (1.1 percent at the time of the previous interest rate decision)  ."
significantly,1,89,36,"Equity indices in Israel have increased significantly since the last interest rate decision, after marked declines in the final two months of 2018  , in line with major equity indices worldwide  ."
budget,1,88,34,"The tension between the Italian government and European authorities grew stronger, following the proposed budget that is expected to lead to an increase in the deficit in Italy."
expansion,1,87,47,"In the US, as noted, the high growth continued, driven by private consumption and the improvement in manufacturing activity, while the fiscal expansion’s impact is expected to dissipate in 2020."
countries,1,87,37,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
deficit,1,87,34,"The tension between the Italian government and European authorities grew stronger, following the proposed budget that is expected to lead to an increase in the deficit in Italy."
midpoint,1,87,30,"Continued wage increases and the economy being around full employment will support a continued rise in inflation toward the midpoint of the target range, as will the depreciation, to the extent it persists."
morbidity,1,86,18,"The growth forecast for 2020 was revised downward, and GDP is expected to contract by about 6 percent in view of worsening morbidity data that are increasing the uncertainty and weighing on the return to routing economic activity, and in view of developments abroad."
bonds,1,85,49,"In the past month, there was a slight increase in the yield spreads between corporate bonds and comparable government bonds."
published,1,85,40,"The growth in supply is apparently the main factor, but there are also forecasts for a decline in global demand. interest rate decision will be published on December 10, 2018."
geopolitical,1,85,24,"Oil prices declined since the previous interest rate decision, in view of the continued increase in supply from the US and despite increased geopolitical risk  . prior to this interest rate decision will be published on July 22, 2019."
continued to increase,3,84,41,"Inflation in prices of nontradable items, which serves as an approximation of the domestic component of inflation, continued to increase  ."
statistics business,2,83,43,The Central Bureau of Statistics Business Tendency Survey indicates that there is no significant deterioration in the profitability of exports  .
statistics business tendency,3,83,43,The Central Bureau of Statistics Business Tendency Survey indicates that there is no significant deterioration in the profitability of exports  .
imports,1,82,51,"However, an analysis of the data and of updated indicators of activity—and considering the impact of volatility in vehicle imports on GDP—indicates that the economy is apparently converging to its potential growth rate."
companies,1,82,44,"Services (excluding start-up companies) exports returned to growth, while weakness continued in goods (excluding diamonds) exports  ."
average,1,82,38,"Mortgage volume continued to expand, as a result of a combination of an increase in the number of transactions and an increase in the average mortgage level, and mortgage interest rates continued to decline."
percent of gdp,3,82,29,"The government budget deficit is expected to increase to 11 percent of GDP in 2020, taking into account the budget plan announced by the government to deal with the crisis and the expected decline in revenues due to a slowdown in activity."
oil,1,81,53,"Inflation in tradable goods prices moderated, primarily as a result of a slowdown in the annual rate of increase in energy prices, despite the increase in oil prices until recently and the depreciation of the shekel."
reserve,1,81,43,"In the US, the Federal Reserve left the federal funds rate unchanged, but its announcement was interpreted as a signal that it is expected to begin implementing an accommodative policy due to intensifying risks and a decline in inflation expectations."
remains tight,2,81,36,"Labor market data show that it remains tight—the unemployment rate remains low, although there was an increase in unemployment benefit claims in recent months; the share of job vacancies out of total employee posts is at a peak  ; and wages continue to increase  ."
third quarter,2,81,33,The growth rate in the third quarter was 2.3 percent.
mortgage,1,80,48,"The number of transactions and mortgage volume appear to be stabilizing, with a slight increase in mortgage interest rates."
strengthened,1,80,36,"Since the last interest rate decision, the shekel strengthened by 2 percent in nominal effective exchange rate terms."
grew,1,80,33,"Private consumption grew moderately, and investment continued to contract, despite the firming of residential construction investment after it had declined over several quarters."
constraints,1,80,32,"Exports are increasing solidly, but the Business Tendency Survey indicates some increase in the rate of companies reporting serious constraints in export profitability, following a decline in this rate during 2018."
equity indices,2,79,47,"In financial markets, there were marked declines in most equity indices."
fiscal,1,79,40,The rise in wages in the economy and the expansionary fiscal policy will support the continued entrenchment of inflation within the target.
continuing,1,79,38,"Labor market data indicate that it remains tight—the unemployment rate declined slightly, the employment rate is stable at a record high level  , and wage increases are continuing, led by the business sector  ."
broad unemployment,2,79,36,"Labor market weakness continued, with the “broad unemployment rate” at 12 percent."
negative,1,79,31,"Global monetary policy remains accommodative, but the direction is gradually changing—while negative interest rates and below-target inflation continue in Europe and Japan, federal funds rate increases in the US are expected to continue and the central banks of several additional countries raised interest rates."
china,1,78,50,Growth in China continues to weaken.
real,1,78,42,"The Bank of Israel continues to monitor developments in inflation, the real economy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
market remains,2,78,35,"In recent months, the unemployment rate increased slightly, and the job vacancy rate declined, but the labor market remains tight and supports the assessment that the economy is in a full employment environment."
path,1,77,42,The Committee assesses that the rising path of the interest rate in the future will be gradual and cautious.
employment rate,2,77,42,"Labor market data indicate that it remains tight—the unemployment rate remains low, the employment rate is stable at a record high level  , and wages continue to rise across all industries, led by the business sector  ."
billion,1,76,46,"In contrast, the banks enabled nearly a half-million businesses and households to defer loan repayments for several months, at a total amount of NIS 6.2 billion  ."
labor market remains,3,76,34,"In recent months, the unemployment rate increased slightly, and the job vacancy rate declined, but the labor market remains tight and supports the assessment that the economy is in a full employment environment."
